Start Time,End Time,Sentence,Translation,Emotion
0.0,1.6,آره تو رو برکن,It's not going to do it.,anger
1.6,5.29,آره به خود بود,And he was going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be.,neutral
5.29,5.75,خوفی ترسن,It's going to be dangerous.,fear
5.75,6.79,بیا نترس,It's not going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be,neutral
6.79,7.59,نترس,We're going to be able to be able to be able to be able to be able to be able to be able to be able.,neutral
7.59,8.67,بیا اینکو,It's going to be going to be going to be going to be going to be going to be going to be going to be going to be going.,neutral
8.67,10.25,آره کن,It's going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be,neutral
10.25,12.37,آره کن,It's going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be,neutral
14.37,15.17,شه خبره؟,And what's the news?,surprise
15.17,15.67,شه خبره,And it's a good news.,joy
15.67,15.77,شه خبره,And it's a good news.,joy
15.77,17.17,شه خبره,And it's a good news.,joy
17.17,17.95,ما سالیم زنون که رو برر,And we're a young woman that's going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going.,neutral
17.95,19.25,ما سالیم زنون که رو برر,And we're a young woman that's going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going.,neutral
19.25,20.29,نه رزا,And they're going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be.,neutral
20.29,21.05,در درینا,And in South Africa.,neutral
21.05,21.71,در درینا,And in South Africa.,neutral
21.71,22.07,نه,And they're not going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going,neutral
22.07,22.77,نه,And they're not going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going,neutral
22.77,23.63,نه رزا,And they're going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be.,neutral
23.63,24.21,خفده,And it's a very funny.,joy
24.21,25.55,ندر برای آره,It's a giant balloon for a few years.,neutral
25.55,26.35,خریدی,And it's a good deal.,joy
26.35,49.41,خطوه,It's going to be a very interesting idea.,joy
49.41,49.89,خمه,And it's a very interesting thing.,joy
60.51,61.83,خب پا برم,It's going to go.,neutral
61.83,63.23,خوشی,It's amazing.,surprise
63.23,64.83,باید اینها,And it's not going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to,neutral
64.83,68.7,جریه چرا میکنی؟,And what do you do?,surprise
68.7,70.7,بیجا کردن بچه خوشون,It's a little girl.,neutral
70.7,72.7,رفته زنه بچه تو میکنن به چیزی ندیگم آه,And you're going to go to what you're going to do.,neutral
74.7,77.5,یه باره دیگه اینجوری هفته زنی پاشنی پا میزنم تو دعنه,It's a little bit like this.,neutral
77.5,80.3,اینگه چپا راست میکنن تمام دندونات خوب,And they're going to go back to the bottom of the bottom.,neutral
80.3,82.7,چه دعنه سروشه دیگه نتونی اینجوری هفته زنی,It's not going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be a week.,neutral
82.7,83.5,آه,And it's a very good thing.,joy
83.5,85.1,چی خالیه چی زنده,It's a wonderful thing.,joy
85.1,86.7,دومبر چی میگردی؟,And what's going to do?,surprise
86.7,88.7,حفته شو,We're going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be,neutral
88.7,89.5,چی میگردی؟,And what's going to do?,surprise
89.5,90.7,باشینو رو بردین میرین جلده,It's going to be a little bit thick.,neutral
90.7,92.7,باشینو رو بردین,It's going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going.,neutral
92.7,94.7,مرتضه سک,"It's a lot of money, and it's a lot of money.",neutral
94.7,96.7,سکتر شد,And it wasn't going to be a bit better.,sadness
96.7,98.7,سکتر شد,And it wasn't going to be a bit better.,sadness
98.7,108.58,چی نداره؟,It's not a problem?,neutral
108.58,110.58,من ترسی ها بابا,And I don't know what I'm going to do.,surprise
110.58,134.75,چی شد پس؟,And what was it?,surprise
134.75,136.75,آه هیچی نیست,We don't have a problem.,neutral
