Start Time,End Time,Sentence,Translation,Emotion_fine,Emotion_core,Intensity
1900-01-01 00:00:00,1900-01-01 00:00:05,PYM JBZ,PYM JBZ,neutrality,neutral,neutral
1900-01-01 00:00:30,1900-01-01 00:00:40,PYM JBZ,PYM JBZ,neutrality,neutral,neutral
1900-01-01 00:01:00,1900-01-01 00:01:10,PYM JBZ,PYM JBZ,neutrality,neutral,neutral
1900-01-01 00:01:30,1900-01-01 00:01:40,PYM JBZ,PYM JBZ,neutrality,neutral,neutral
1900-01-01 00:02:00,1900-01-01 00:02:10,PYM JBZ,PYM JBZ,neutrality,neutral,neutral
1900-01-01 00:02:10,1900-01-01 00:02:20,PYM JBZ,PYM JBZ,neutrality,neutral,neutral
1900-01-01 00:02:20,1900-01-01 00:02:30,PYM JBZ,PYM JBZ,neutrality,neutral,neutral
1900-01-01 00:02:30,1900-01-01 00:02:40,PYM JBZ,PYM JBZ,neutrality,neutral,neutral
1900-01-01 00:02:40,1900-01-01 00:03:00,PYM JBZ,PYM JBZ,neutrality,neutral,neutral
1900-01-01 00:03:00,1900-01-01 00:03:20,PYM JBZ,PYM JBZ,neutrality,neutral,neutral
1900-01-01 00:03:20,1900-01-01 00:03:30,PYM JBZ,PYM JBZ,neutrality,neutral,neutral
1900-01-01 00:03:30,1900-01-01 00:03:40,PYM JBZ,PYM JBZ,neutrality,neutral,neutral
1900-01-01 00:03:40,1900-01-01 00:03:50,PYM JBZ,PYM JBZ,neutrality,neutral,neutral
1900-01-01 00:03:50,1900-01-01 00:04:10,PYM JBZ,PYM JBZ,neutrality,neutral,neutral
1900-01-01 00:04:10,1900-01-01 00:04:20,PYM JBZ,PYM JBZ,neutrality,neutral,neutral
1900-01-01 00:04:20,1900-01-01 00:04:30,PYM JBZ,PYM JBZ,neutrality,neutral,neutral
1900-01-01 00:04:30,1900-01-01 00:04:40,PYM JBZ,PYM JBZ,neutrality,neutral,neutral
1900-01-01 00:04:40,1900-01-01 00:05:00,PYM JBZ,PYM JBZ,neutrality,neutral,neutral
1900-01-01 00:05:00,1900-01-01 00:05:10,PYM JBZ,PYM JBZ,neutrality,neutral,neutral
1900-01-01 00:05:10,1900-01-01 00:05:30,PYM JBZ,PYM JBZ,neutrality,neutral,neutral
1900-01-01 00:05:30,1900-01-01 00:05:40,PYM JBZ,PYM JBZ,neutrality,neutral,neutral
1900-01-01 00:05:40,1900-01-01 00:06:00,PYM JBZ,PYM JBZ,neutrality,neutral,neutral
1900-01-01 00:06:00,1900-01-01 00:06:20,PYM JBZ,PYM JBZ,neutrality,neutral,neutral
1900-01-01 00:06:20,1900-01-01 00:06:30,PYM JBZ,PYM JBZ,neutrality,neutral,neutral
1900-01-01 00:06:30,1900-01-01 00:06:50,PYM JBZ,PYM JBZ,neutrality,neutral,neutral
1900-01-01 00:06:50,1900-01-01 00:07:00,PYM JBZ,PYM JBZ,neutrality,neutral,neutral
1900-01-01 00:07:00,1900-01-01 00:07:10,PYM JBZ,PYM JBZ,neutrality,neutral,neutral
1900-01-01 00:07:10,1900-01-01 00:07:30,PYM JBZ,PYM JBZ,neutrality,neutral,neutral
1900-01-01 00:07:30,1900-01-01 00:07:40,PYM JBZ,PYM JBZ,neutrality,neutral,neutral
1900-01-01 00:07:40,1900-01-01 00:08:00,PYM JBZ,PYM JBZ,neutrality,neutral,neutral
1900-01-01 00:08:00,1900-01-01 00:08:10,PYM JBZ,PYM JBZ,neutrality,neutral,neutral
1900-01-01 00:08:10,1900-01-01 00:08:20,PYM JBZ,PYM JBZ,neutrality,neutral,neutral
1900-01-01 00:08:20,1900-01-01 00:08:40,PYM JBZ,PYM JBZ,neutrality,neutral,neutral
1900-01-01 00:08:40,1900-01-01 00:09:00,PYM JBZ,PYM JBZ,neutrality,neutral,neutral
1900-01-01 00:09:00,1900-01-01 00:09:20,PYM JBZ,PYM JBZ,neutrality,neutral,neutral
1900-01-01 00:09:18.657982,1900-01-01 00:09:20.657982,مثلاً خیلی ما دوست داریم,"For example, we really like it.",fondness,happiness,moderate
1900-01-01 00:09:20.657982,1900-01-01 00:09:22.657982,خیلی هم دوستشون داریم,We really love them too,affection,happiness,moderate
1900-01-01 00:09:22.657982,1900-01-01 00:09:24.657982,خیلی هم کنار همدیگه هم,Very much together with each other too,closeness,happiness,mild
1900-01-01 00:09:24.657982,1900-01-01 00:09:26.657982,خیلی به همون خوش میگذره,We are having a really good time together,enjoyment,happiness,moderate
1900-01-01 00:09:26.657982,1900-01-01 00:09:28.657982,حالا چطور شغل من,Now what about my job,concern,fear,moderate
1900-01-01 00:09:28.657982,1900-01-01 00:09:30.657982,چطور فضای اجتماعی من,How is my social environment,curiosity,neutral,neutral
1900-01-01 00:09:30.657982,1900-01-01 00:09:32.657982,منظور عرض من این بود,What I meant to say was,clarification,neutral,neutral
1900-01-01 00:09:32.657982,1900-01-01 00:09:34.657982,که اون آدمهایی رو که,That those people who,anticipation,neutral,neutral
1900-01-01 00:09:34.657982,1900-01-01 00:09:36.657982,میتونیم روشون حساب کنیم,We can count on them,trust,happiness,mild
1900-01-01 00:09:36.657982,1900-01-01 00:09:38.657982,شاید اون دوست هم کسایی باشن,Maybe that friend is also some people,suspicion,neutral,mild
